lya;gps-punkt;position;altitud;datum;observation;distans;vinkel;obstyp;marktyp;antal högar;antal;kommentar;väder;spårsnö;;;;;;;;;;;
zz061;SP6;7 006 759 363 054;846 m;2018-05-02 10:27;SP;;;;S;;3;samt fler otydliga spår;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;SP7;7 006 796 363 052;850 m;2018-05-02 10:29;SP;;;;S;;4;samt fler otydliga spår;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;SP8;7 006 864 363 034;859 m;2018-05-02 10:33;SP;;;;S;;1;samt fler otydliga spår;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS11;7 006 882 363 032;865 m;2018-05-02 10:34;RS;;;;S;1;4;stora färska;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS12;7 007 268 362 982;914 m;2018-05-02 10:46;RS;;;;BS;1;20;7 ljusbruna, 13 ljusa, några oformliga;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS13;7 007 286 362 985;919 m;2018-05-02 10:49;RS;;;;B;1;13;ljus;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS14;7 007 299 362 986;920 m;2018-05-02 10:51;RS;;;;B;1;10;ljusa oformliga;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS15;7 007 413 362 958;929 m;2018-05-02 10:56;RS;;;;BS;1;1;ljusbruna;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;F3;7 009 681 362 779;1000 m;2018-05-02 11:52;F;41;282;HSE;B;;2;;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;F3;7 009 681 362 779;1000 m;2018-05-02 11:52;F;136;135;H;;;1;;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;CORNER2;7 010 638 362 876;942 m;2018-05-02 12:04;CORNER;;;;;;;;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;F4;7 010 614 362 913;942 m;2018-05-02 12:32;F;18;318;SE;BS;;1;;växlande molnighet, vind 1 m/s, 0 grader;skare;;;;;;;;;;;
zz061;RS16;7 010 584 362 972;950 m;2018-05-02 12:35;RS;;;;B;1;1;ljus;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;FJALLVRAK;7 009 698 364 284;1120 m;2018-05-02 14:23;FJALLVRAK;;;;;;;;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS17;7 009 212 365 539;1101 m;2018-05-02 14:50;RS;;;;B;1;5;2 mörkbruna mjuka, 3 ljusa;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS18;7 009 208 365 577;1109 m;2018-05-02 14:53;RS;;;;B;1;2;mörkbrun;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS19;7 009 208 365 588;1111 m;2018-05-02 14:55;RS;;;;B;1;40;ljusa, väldigt spridda;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS20;7 009 199 365 638;1123 m;2018-05-02 14:58;RS;;;;B;1;20;ljusbruna, väldigt spridda;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS21;7 009 186 365 662;1128 m;2018-05-02 15:01;RS;;;;B;1;20;ljusbruna och ljusa, väldigt spridda;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS21;7 009 186 365 662;1128 m;2018-05-02 15:01;F;123;120;H;;;1;;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS21;7 009 186 365 662;1128 m;2018-05-02 15:01;F;145;132;H;;;1;;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;RS22;7 008 631 366 281;1076 m;2018-05-02 15:23;RS;;;;B;1;1;ljus;vind 3-4 m/s;skare;;;;;;;;;;;
zz061;NYRIKT;7 008 623 366 228;1086 m;2018-05-02 15:20;NYRIKT;;;;;;;;;;;;;;;;;;;;
zz061;NYRIKT;7 009 183 365 670;;2018-05-02 15:22;NYRIKT;;;;;;;;;;;;;;;;;;;;
